"","Trust_politicians","vote","happy","gender","house_income"
"546",8,"Yes",10,"Male",6
"547",5,"Yes",8,"Male",6
"548",6,"No",9,"Female",6
"549",5,"Not eligible to vote",10,"Male",6
"550",7,"Not eligible to vote",8,"Female",10
"551",5,"No",8,"Female",1
"552",7,"Yes",8,"Female",1
"553",6,"Yes",9,"Female",4
"554",1,"No",7,"Male",3
"555",6,"Yes",9,"Male",7
"556",5,"Yes",8,"Female",3
"557",8,"Yes",10,"Male",3
"558",4,"Yes",8,"Male",9
"559",6,"Yes",7,"Female",8
"560",7,"Yes",8,"Male",10
"561",4,"Yes",9,"Male",10
"562",5,"Yes",8,"Female",6
"563",5,"Not eligible to vote",10,"Female",3
"564",2,"Yes",9,"Male",6
"565",6,"Not eligible to vote",8,"Female",5
"566",9,"Yes",10,"Male",8
"567",8,"Not eligible to vote",9,"Female",6
"568",4,"Yes",7,"Male",8
"569",5,"Yes",7,"Female",7
"570",7,"Yes",7,"Male",9
"571",3,"Yes",10,"Male",9
"572",7,"Yes",10,"Male",3
"573",0,"Yes",9,"Female",3
"574",2,"No",8,"Male",3
"575",7,"Yes",8,"Female",6
"576",6,"Yes",9,"Female",4
"577",6,"Yes",10,"Male",6
"578",8,"Not eligible to vote",6,"Female",2
"579",5,"Yes",10,"Male",10
"580",4,"Yes",7,"Male",3
"581",3,"Yes",5,"Female",1
"582",5,"Yes",8,"Male",8
"583",4,"Yes",10,"Female",7
"584",7,"Yes",9,"Female",6
"585",8,"No",9,"Female",4
"586",7,"Yes",8,"Male",7
"587",4,"Yes",9,"Male",8
"588",6,"Yes",9,"Male",3
"589",5,"Yes",3,"Female",8
"590",4,"Yes",8,"Female",1
"591",5,"Yes",9,"Female",1
"592",1,"Yes",7,"Female",4
"593",1,"Yes",10,"Male",9
"594",4,"Yes",4,"Female",6
"595",8,"Not eligible to vote",9,"Female",3
"596",7,"Yes",9,"Male",3
"597",7,"Yes",8,"Female",4
"598",4,"Yes",8,"Male",5
"599",3,"Yes",8,"Male",4
"600",1,"Yes",2,"Male",3
"601",5,"Yes",10,"Male",10
"602",3,"Yes",8,"Female",6
"603",6,"Yes",8,"Male",6
"604",3,"Yes",9,"Male",7
"605",7,"Yes",7,"Male",4
"606",7,"Yes",8,"Female",10
"607",2,"Yes",5,"Male",1
"608",8,"Yes",10,"Male",10
"609",7,"Yes",10,"Female",9
"610",5,"Yes",8,"Male",9
"611",8,"Yes",10,"Female",10
"612",6,"Yes",7,"Female",NA
"613",8,"Not eligible to vote",10,"Male",3
"614",6,"Yes",7,"Male",8
"615",6,"Yes",10,"Female",1
"616",5,"Yes",10,"Female",4
"617",4,"Yes",8,"Female",2
"618",5,"Yes",6,"Female",2
"619",5,"Yes",6,"Female",7
"620",4,"Yes",5,"Male",9
"621",7,"Yes",8,"Female",4
"622",5,"Yes",8,"Male",5
"623",5,"Yes",9,"Male",7
"624",2,"Yes",9,"Female",3
"625",6,"Yes",8,"Male",8
"626",8,"Yes",10,"Female",3
"627",6,"No",10,"Male",6
"628",6,"Yes",9,"Female",10
"629",4,"Yes",9,"Female",NA
"630",6,"Not eligible to vote",9,"Male",1
