"id","kjonn","alder","okonomi","polskala","abort"
744,1,28,3,2,5
745,0,70,2,2,NA
746,1,28,2,2,4
748,1,48,NA,2,1
751,0,44,3,2,3
752,1,19,2,2,3
753,1,40,2,1,1
757,NA,70,2,NA,4
758,1,38,2,2,4
759,1,77,2,3,3
760,1,54,1,2,3
761,1,37,1,3,2
763,1,32,2,2,4
764,1,48,2,1,2
765,1,22,2,1,5
766,1,28,2,2,4
767,1,51,3,2,4
768,1,40,2,3,3
769,1,49,2,2,4
771,1,62,2,1,1
772,NA,65,2,1,4
773,1,55,2,2,4
775,1,61,2,1,4
776,1,26,2,2,4
778,1,61,1,2,2
780,1,51,1,6,1
782,1,46,2,5,1
783,1,47,2,1,4
785,0,45,2,1,5
786,1,51,3,2,1
788,1,29,1,1,5
789,1,31,2,1,3
790,0,49,1,3,1
791,0,41,3,1,4
794,0,16,1,2,4
795,0,36,2,2,2
796,0,23,2,1,4
801,1,50,2,1,4
802,1,29,2,1,3
803,1,28,3,2,3
805,1,29,1,1,4
806,0,69,2,2,4
809,1,35,2,1,4
810,0,79,2,6,2
811,0,18,2,5,3
812,1,19,3,1,NA
813,0,44,1,1,5
815,0,17,3,2,2
816,1,23,2,1,4
817,0,46,2,1,4
818,1,50,2,1,4
820,0,47,1,2,1
821,1,32,3,2,2
822,1,46,2,1,5
823,1,61,3,5,1
825,1,29,3,1,5
826,1,35,2,1,4
827,1,50,2,2,5
828,1,56,2,1,4
829,1,24,3,3,2
831,NA,28,1,5,4
832,1,40,2,2,4
834,1,37,3,2,5
837,1,37,3,1,4
838,1,24,2,1,5
840,1,36,3,1,4
842,0,50,3,2,4
844,0,18,NA,6,1
845,1,31,2,2,4
847,1,25,2,1,5
848,0,48,2,3,2
850,1,27,2,2,2
851,1,23,NA,1,3
854,1,58,2,2,2
855,0,62,3,6,1
859,1,23,2,1,4
860,1,50,3,3,2
862,0,62,2,3,4
864,0,53,2,2,4
865,1,57,2,5,1
867,1,22,3,1,4
868,1,37,3,2,3
870,1,33,2,2,3
871,0,24,1,1,3
873,0,33,2,1,4
880,0,25,2,3,3
881,1,18,2,2,3
882,1,33,2,2,5
884,0,34,3,4,3
885,1,42,2,2,4
886,1,21,2,2,4
888,1,47,2,2,4
889,1,54,3,2,2
890,1,22,2,1,5
893,1,32,1,1,5
894,1,54,2,2,2
898,1,23,2,1,4
901,1,51,3,3,4
903,1,42,2,2,4
908,0,62,2,6,2
910,0,61,3,1,4
911,1,63,2,3,NA
912,1,27,2,3,4
915,0,43,2,1,5
916,1,44,1,1,4
917,0,17,2,2,5
918,1,75,2,1,5
920,1,22,2,1,5
921,1,22,2,1,2
924,0,42,2,2,5
926,0,44,2,2,4
929,1,47,3,2,4
932,0,46,1,1,4
933,1,32,2,1,4
934,1,45,2,1,5
937,0,47,2,2,4
938,1,26,2,1,5
939,1,44,2,2,NA
940,1,36,1,1,5
942,1,31,3,1,4
945,1,31,1,1,4
946,0,16,3,2,5
950,1,27,2,1,3
951,0,63,2,2,3
953,1,31,2,2,3
954,1,42,2,3,2
959,1,38,3,2,4
960,1,23,2,6,1
962,1,23,3,1,1
963,1,34,3,5,NA
964,1,31,3,1,3
965,1,37,2,1,4
966,1,28,1,2,4
967,1,28,3,1,5
969,0,77,2,3,2
970,0,16,2,1,2
972,1,55,2,6,1
973,0,45,3,3,2
974,1,47,3,2,4
975,0,77,3,3,2
977,1,49,2,2,4
978,1,64,3,1,4
979,1,19,2,1,5
980,1,57,2,2,4
981,1,36,2,2,4
983,1,26,2,2,4
986,1,26,2,1,4
989,0,53,2,1,4
991,0,18,2,2,2
992,0,56,2,2,4
996,1,43,2,2,2
999,1,48,2,NA,3
1000,0,67,2,2,5
1001,1,41,2,6,4
1002,0,75,2,2,5
1003,1,22,2,1,2
1005,1,40,2,2,4
1006,1,20,3,1,5
1007,0,66,2,1,3
1008,1,19,2,1,4
1010,1,68,3,4,2
1011,1,22,3,3,5
1012,1,40,2,2,1
1014,1,30,2,1,4
1015,1,37,2,3,3
1017,1,56,2,2,4
1018,0,31,1,2,3
1020,1,34,2,2,4
1021,1,33,2,2,4
1023,1,28,2,1,4
1024,1,19,3,2,2
1026,1,20,NA,1,5
1027,0,59,NA,1,4
1028,1,27,3,1,3
1029,1,34,3,1,NA
1030,1,60,3,1,5
1031,1,22,2,4,1
1032,1,28,2,2,NA
1033,0,69,2,3,2
1034,1,44,3,1,2
1035,1,22,2,3,5
1037,1,21,1,2,5
1038,1,36,3,1,5
1040,1,20,1,1,5
1041,1,54,2,4,2
1042,1,17,3,1,5
1043,1,40,2,2,5
1045,1,42,2,2,2
1046,1,20,2,2,5
1047,0,19,2,1,4
1049,0,28,2,2,4
1051,1,51,2,5,2
1058,0,67,2,2,2
1059,1,41,1,1,4
1060,1,32,2,1,5
1061,1,32,2,1,5
1063,1,22,1,5,1
1065,1,25,3,1,5
1066,0,59,2,2,2
1069,0,37,2,2,5
1070,1,32,3,2,4
1071,1,47,3,3,5
1072,1,51,3,2,4
1073,1,23,2,3,4
